part_name,specification,category_name,category_code,brand,material,unit_price,supplier,stock_status,part_code
SKF 6204-2RS1 深沟球轴承,"6204-2RS1, 内径20mm, 外径47mm, 宽度14mm",轴承,A.01.01,SKF,高碳铬钢,45,上海轴承贸易有限公司,充足,SKFX-A-001-001
FAG NU2210-E-TVP2 圆柱滚子轴承,"NU2210-E-TVP2, 内径50mm, 外径90mm, 宽度23mm",轴承,A.01.01,FAG,轴承钢,220,北京工业设备配件有限公司,紧张,FAGX-A-002-002
NSK 6305ZZ 深沟球轴承,"6305ZZ, 内径25mm, 外径62mm, 宽度17mm",轴承,A.01.01,NSK,高碳铬钢,60,广州机械配件批发中心,充足,NSKX-A-003-003
TIMKEN 30205 圆锥滚子轴承,"30205, 内径25mm, 外径52mm, 宽度16.25mm",轴承,A.01.01,TIMKEN,轴承钢,85,深圳工业备件供应商,紧张,TIMK-A-004-004
INA SL182912 圆柱滚子轴承,"SL182912, 内径60mm, 外径85mm, 宽度16mm",轴承,A.01.01,INA,高精度轴承钢,350,杭州机械传动件有限公司,缺货,INAX-A-005-005
SKF 6205-2RS1 深沟球轴承,6205-2RS1，内径25mm，外径52mm，宽度15mm,轴承,A.01.01,SKF,高碳铬轴承钢,45,上海轴承销售有限公司,充足,SKFX-A-001-001
FAG NU2206-E-TVP2 圆柱滚子轴承,NU2206-E-TVP2，内径30mm，外径62mm，宽度20mm,轴承,A.01.01,FAG,轴承钢,120,北京轴承贸易有限公司,紧张,FAGX-A-002-002
NSK 6204ZZ 深沟球轴承,6204ZZ，内径20mm，外径47mm，宽度14mm,轴承,A.01.01,NSK,高碳铬轴承钢,38,广州轴承供应中心,充足,NSKX-A-003-003
TIMKEN 30205 圆锥滚子轴承,30205，内径25mm，外径52mm，宽度16.25mm,轴承,A.01.01,TIMKEN,轴承钢,95,天津轴承批发商,紧张,TIMK-A-004-004
INA KR30 滚针轴承,KR30，内径30mm，外径40mm，宽度30mm,轴承,A.01.01,INA,轴承钢,75,深圳轴承配件有限公司,充足,INAX-A-005-005
SKF 6205-2RS1 深沟球轴承,6205-2RS1，内径25mm，外径52mm，宽度15mm,轴承,A.01.01,SKF,高碳铬轴承钢,45.5,上海轴承贸易有限公司,充足,SKFX-A-001-001
FAG 22210-E1-K 调心滚子轴承,22210-E1-K，内径50mm，外径90mm，宽度23mm,轴承,A.01.01,FAG,高碳铬轴承钢,185.0,北京轴承销售中心,紧张,FAGX-A-002-002
NSK 6308ZZ 深沟球轴承,6308ZZ，内径40mm，外径90mm，宽度23mm,轴承,A.01.01,NSK,高碳铬轴承钢,78.0,广州工业备件供应公司,充足,NSKX-A-003-003
TIMKEN 30205 圆锥滚子轴承,30205，内径25mm，外径52mm，宽度16.25mm,轴承,A.01.01,TIMKEN,高碳铬轴承钢,65.0,天津轴承批发商行,紧张,TIMK-A-004-004
INA SL183006 圆柱滚子轴承,SL183006，内径30mm，外径55mm，宽度19mm,轴承,A.01.01,INA,高碳铬轴承钢,120.0,苏州工业备件有限公司,充足,INAX-A-005-005
SKF 6205-2RS1 深沟球轴承,内径25mm，外径52mm，宽度15mm,轴承,A.01.01,SKF,高碳铬轴承钢（GCr15）,45,上海优耐特轴承有限公司,充足,SKFX-A-001-001
FAG NU2210-E-TVP2 圆柱滚子轴承,内径50mm，外径90mm，宽度23mm,轴承,A.01.01,FAG,高碳铬轴承钢（GCr15）,180,北京中航泰达机电设备有限公司,紧张,FAGX-A-002-002
NSK 6308ZZ 深沟球轴承,内径40mm，外径90mm，宽度23mm,轴承,A.01.01,NSK,高碳铬轴承钢（GCr15）,65,广州联钺轴承有限公司,充足,NSKX-A-003-003
TIMKEN 30205 圆锥滚子轴承,内径25mm，外径52mm，宽度16.25mm,轴承,A.01.01,TIMKEN,高碳铬轴承钢（GCr15）,75,天津瑞德轴承销售有限公司,紧张,TIMK-A-004-004
INA SL182912 圆柱滚子轴承,内径60mm，外径85mm，宽度16mm,轴承,A.01.01,INA,高碳铬轴承钢（GCr15）,210,上海精工轴承有限公司,充足,INAX-A-005-005
SKF 6204-2Z/C3 深沟球轴承,"6204-2Z/C3, 内径20mm, 外径47mm, 宽度14mm",轴承,A.01.01,SKF,高碳铬钢,45,上海轴承贸易有限公司,充足,SKFX-A-001-001
FAG NU2206-E-TVP2 圆柱滚子轴承,"NU2206-E-TVP2, 内径30mm, 外径62mm, 宽度20mm",轴承,A.01.01,FAG,轴承钢,120,北京轴承销售中心,紧张,FAGX-A-002-002
NSK 6305ZZ 深沟球轴承,"6305ZZ, 内径25mm, 外径62mm, 宽度17mm",轴承,A.01.01,NSK,高碳铬轴承钢,65,广州轴承供应商,充足,NSKX-A-003-003
TIMKEN 30205 圆锥滚子轴承,"30205, 内径25mm, 外径52mm, 宽度16.25mm",轴承,A.01.01,TIMKEN,优质合金钢,95,深圳工业轴承有限公司,紧张,TIMK-A-004-004
INA KR16 凸轮从动轴承,"KR16, 内径16mm, 外径40mm, 宽度20mm",轴承,A.01.01,INA,轴承钢,150,天津进口轴承销售部,缺货,INAX-A-005-005
REXROTH CDH2MT3/100-250-A7X 液压缸,CDH2MT3/100-250-A7X,液压缸,B.01.01,REXROTH,高强度合金钢,4580,上海博世力士乐液压技术有限公司,充足,REXR-B-001-001
PARKER PV023R1K1T1NMMC 液压泵,PV023R1K1T1NMMC,液压泵,B.01.02,PARKER,铸铁,7850,派克汉尼汾流体传动产品（上海）有限公司,紧张,PARK-B-002-002
SMC CQ2B20-20DM 气缸,CQ2B20-20DM,气缸,B.02.01,SMC,不锈钢,1250,SMC（中国）有限公司,充足,SMCX-B-003-003
FESTO MPYE-5-1/8-010B 气阀,MPYE-5-1/8-010B,气阀,B.02.02,FESTO,铝合金,980,费斯托（中国）有限公司,紧张,FEST-B-004-004
AirTAC 10-8-A-B 油管,10-8-A-B,油管,B.03.01,AirTAC,聚氨酯,45,亚德客（中国）有限公司,充足,AIRT-B-005-005
REXROTH CDH2MT3/100-200 液压缸,CDH2MT3/100-200,液压缸,B.01.01,REXROTH,不锈钢,8500,上海力士乐液压设备有限公司,充足,REXR-B-001-001
PARKER P11D-3RSX-5-CC-D00AA 液压泵,P11D-3RSX-5-CC-D00AA,液压泵,B.01.02,PARKER,铸铁,12000,派克汉尼汾流体传动产品（上海）有限公司,紧张,PARK-B-002-002
SMC CQ2B20-20DM 气缸,CQ2B20-20DM,气缸,B.02.01,SMC,铝合金,650,SMC（中国）有限公司,充足,SMCX-B-003-003
FESTO VUVG-L10-M52-AD-F-1N 气阀,VUVG-L10-M52-AD-F-1N,气阀,B.02.02,FESTO,黄铜,420,费斯托（中国）自动化制造有限公司,紧张,FEST-B-004-004
AirTAC SC50X200-S 油管,SC50X200-S,油管,B.03.01,AirTAC,橡胶,120,亚德客国际集团,充足,AIRT-B-005-005
REXROTH CDH2MT3/100/56/180/M/X 液压缸,CDH2MT3/100/56/180/M/X,液压缸,B.01.01,REXROTH,高强度合金钢,8500,上海力士乐液压设备有限公司,充足,REXR-B-001-001
PARKER PV023R1K1T1NMMC 液压泵,PV023R1K1T1NMMC,液压泵,B.01.02,PARKER,铸铁,12000,广州派克液压技术有限公司,紧张,PARK-B-002-002
SMC CQ2B20-20DM 气缸,CQ2B20-20DM,气缸,B.02.01,SMC,铝合金,450,深圳SMC自动化设备有限公司,充足,SMCX-B-003-003
FESTO VUVG-L14-M52-AD-F8P 气阀,VUVG-L14-M52-AD-F8P,气阀,B.02.02,FESTO,不锈钢,1200,苏州费斯托气动元件有限公司,紧张,FEST-B-004-004
AirTAC 10-8PU-B 油管,10-8PU-B,油管,B.03.01,AirTAC,聚氨酯,35,东莞亚德客气动元件有限公司,充足,AIRT-B-005-005
REXROTH CDH2MT3/100/56/110A1X/B11VMM 液压缸,CDH2MT3/100/56/110A1X/B11VMM,液压缸,B.01.01,REXROTH,高强度合金钢,8500,上海力士乐液压设备有限公司,充足,REXR-B-001-001
PARKER PV023R1K1T1NMMC 液压泵,PV023R1K1T1NMMC,液压泵,B.01.02,PARKER,铸铁,6200,派克汉尼汾工业设备（上海）有限公司,紧张,PARK-B-002-002
SMC CQ2B20-20DM 气缸,CQ2B20-20DM,气缸,B.02.01,SMC,铝合金,1200,SMC（中国）有限公司,充足,SMCX-B-003-003
